medcodeid,term
3693571000006117,"Niemann-Pick disease, adult non-neuronopathic"
1224880012,Trisomy 13 NOS
3461351000006119,MNK - Menkes syndrome
12451421000006118,Shprintzen syndrome
2504711000006119,"Mucopolysaccharidosis, MPS-IV"
88361000006111,"Trisomy 21, mitotic nondisjunction"
5339911000006112,Trisomy 21 - translocation
8248081000006110,Gaucher disease genotype determination
3650411000006110,"Mucopolysaccharidosis, MPS-II"
378500015,Partial trisomy 13 in Patau's syndrome
3689411000006112,Mucopolysaccharidosis type I mild form
7567381000006119,Down syndrome clinic
2647371000006119,Niemann-Pick cell
312877018,Microcephalus NOS
2665621000006114,Lesch-Nyhan disease
5485291000006111,"Heller operation, oesophagomyotomy"
7732621000006118,Microcephalus microcornea syndrome of Seemanova type
1009571000006115,Cause of learning disabilities: Fragile X syndrome
7868641000006118,Cerebral gigantism jaw cysts syndrome
394581000006118,[X]Kanner's syndrome
12020401000006111,Trisomy 7p22.1
3766041000006119,Complete trisomy 10 syndrome
2800291000006112,"Niemann-Pick disease, type D"
3528198012,Trisomy 13
12001911000006115,Distal trisomy 7p
3461341000006116,MK - Menkes syndrome
12010201000006117,Sotos syndrome 2
3629721000006119,MPS VI - Mucopolysaccharidosis VI
1803741000006116,Suspected acrodysostosis
2589191000006111,LMBB - Laurence-Moon-Bardet-Biedl syndrome
7744321000006115,Omphalocele syndrome Shprintzen Goldberg type
696731000006113,Mucopolysaccharidosis type VII
3188571000006110,Cri du chat
3585381000006119,"Niemann-Pick disease, type C"
3629661000006116,"Mucopolysaccharidosis, MPS-VI"
8055791000006114,Mucopolysaccharidosis type VII screening test
8039091000006110,"Foetal trisomy 21, Down syndrome"
3550355015,PBD-ZSS - Peroxisome biogenesis disorder Zellweger syndrome spectrum
5116351000006115,"Mucopolysaccharidosis, MPS-IV-B"
405349018,Deletion of short arm of chromosome 18
3510561000006110,Chronic non-neuropathic Gaucher disease
7786161000006111,Microcephalus facio-cardio-skeletal syndrome Hadziselimovic type
296990017,Cerebral degeneration in Gaucher's disease
1233939016,Cerebral gigantism
5414201000006117,Mucopolysaccharidoses marker
3133751000006111,"Niemann-Pick disease, type B"
12027511000006111,Distal 18q deletion syndrome
7776151000006118,Distal trisomy 10q
376631000006115,[X]Dementia infantalis
4159010,Microcephalus
1234038018,Angelman's syndrome
119577010,Heller's syndrome
3850861000006116,"Acrocephalosyndactyly, type III"
3161031000006112,Complete trisomy 21 syndrome
696681000006115,"Mucopolysaccharidosis, type 1"
7858941000006118,Myeloid leukaemia co-occurrent with Down syndrome
3133781000006115,Niemann-Pick disease non-neuropathic type
636711000006113,Edward's syndrome - trisomy 18
7858971000006114,Myeloid leukaemia and Down syndrome
2695061000006112,Cerebral acute Gaucher disease
2694971000006117,Acute neuronopathic Gaucher's disease
1232445010,William syndrome
137341000006114,Smith - Lemli - Opitz syndrome
12019091000006110,Mosaic trisomy 22 syndrome
126200014,Johanson-Blizzard syndrome
7757281000006119,Trisomy 10p
3207171000006117,MPS VII - Mucopolysaccharidosis VII
3562161000006118,Mucopolysaccharidosis type I severe form
612441000006114,Deletion of long arm of chromosome 21
557191000000119,Mowat-Wilson syndrome
3723341000006119,Mucopolysaccharidosis III-C
7806021000006117,Pfeiffer Singer Zschiesche syndrome
1233229018,Deletion of short arm of chromosome 5
261108013,Trisomy 21 in amniotic foetal cell
400911011,Apert's syndrome
3133761000006113,"Niemann-Pick disease, chronic non-neuronopathic"
212911000006116,Prader-Willi syndrome
3461321000006111,Kinky hair disease
5116361000006118,MPS IV-B - Mucopolysaccharidosis IV-B
294941015,Disintegrative psychosis NOS
1705901000006118,Angelman syndrome
2800321000006115,Niemann pick disease type D
4830961000006111,Mosaic Down syndrome
2835541000006116,Complete trisomy 13 syndrome
2815551000006110,Sturge-Weber-Dimitri syndrome
2477201014,Kanner's syndrome
187765019,Amaurotic familial idiocy
116814019,15q partial trisomy syndrome
223441000000119,Lesch - Nyhan syndrome
148214012,Prader-Willi syndrome
3169991000006114,Mucopolysaccharidosis type IIIA
5339941000006111,Trisomy 18 - translocation
378491010,Pseudotrisomy 18
2615491000006112,Mucopolysaccharidosis IV-A
3517496015,Multiple marker screen positive for trisomy 18
2594691000006115,Juvenile Gaucher disease
3169971000006113,MPSIIIA - Mucopolysaccharidosis type IIIA
3723381000006113,MPSIIIC - Mucopolysaccharidosis type IIIC
3461371000006112,Menke's kinky hair syndrome
7881441000006114,Pfeiffer Palm Teller syndrome
8020481000006111,Family history of Prader-Willi syndrome
7785931000006111,Microcephalus with cardiac defect and lung malsegmentation syndrome
