medcodeid,term,qofclusterid,qofclusterdesc,qofsnomedctconceptid,snomedctdescriptionid
5008031000006115,Sleep-related epilepsy,EPIL_COD,Epilepsy diagnosis codes,230445007,345324015
5008041000006113,Sleep related epilepsy,EPIL_COD,Epilepsy diagnosis codes,230445007,2966648017
5008051000006110,Night seizure,EPIL_COD,Epilepsy diagnosis codes,230445007,5008051000006110
5008061000006112,Sleep seizure,EPIL_COD,Epilepsy diagnosis codes,230445007,3491800018
5008251000006118,Psychomotor status,EPIL_COD,Epilepsy diagnosis codes,230460005,345346011
512000013,Photosensitive epilepsy,EPIL_COD,Epilepsy diagnosis codes,95208000,512000013
6028621000006119,Epileptic attack,EPIL_COD,Epilepsy diagnosis codes,313307000,3330456016
6028631000006116,Epileptic convulsion,EPIL_COD,Epilepsy diagnosis codes,313307000,3332506017
6028641000006114,Epileptic fit,EPIL_COD,Epilepsy diagnosis codes,313307000,3332508016
632721000000111,Panayiotopoulos syndrome,EPIL_COD,Epilepsy diagnosis codes,230387008,2793363010
647301000006112,Epileptic absences,EPIL_COD,Epilepsy diagnosis codes,509341000000107,1132511000000113
72751000006116,Unverricht - Lundborg disease,EPIL_COD,Epilepsy diagnosis codes,230423006,345289013
736371000006112,Locl-rlt(foc)(part)idiop epilep&epilptic syn seiz locl onset,EPIL_COD,Epilepsy diagnosis codes,193022009,297327014
743461000006119,Limbic system epilepsy,EPIL_COD,Epilepsy diagnosis codes,193003000,297301014
800721000006115,Generalised nonconvulsive epilepsy NOS,EPIL_COD,Epilepsy diagnosis codes,192979009,297264018
8191681000006117,Petit-mal epilepsy,EPIL_COD,Epilepsy diagnosis codes,509341000000107,1132501000000111
883041000006118,Petit mal epilepsy,EPIL_COD,Epilepsy diagnosis codes,509341000000107,883041000006118
883061000006119,Infantile spasms -hysarrythmia,EPIL_COD,Epilepsy diagnosis codes,28055006,883061000006119
897431000006113,Post traumatic epilepsy,EPIL_COD,Epilepsy diagnosis codes,75023009,897431000006113
931711000006118,Early infant epileptic encephalopathy wth suppression bursts,EPIL_COD,Epilepsy diagnosis codes,230429005,345301010
932141000006111,Partial complex seizure,EPIL_COD,Epilepsy diagnosis codes,407675009,932141000006111
