prodcodeid,dmdcode,termfromemis,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,release
1512341000033112,321971001,Venlafaxine 75mg tablets,Venlafaxine 75mg tablets,Venlafaxine hydrochloride,75.000mg,Tablet,Oral,4030400,4030400
1512441000033118,321974009,Venlafaxine 50mg tablets,Venlafaxine 50mg tablets,Venlafaxine hydrochloride,50.000mg,Tablet,Oral,,
499141000033110,237411000001109,Efexor 75mg tablets (Wyeth Pharmaceuticals),Efexor 75mg tablets,Venlafaxine hydrochloride,75.000mg,Tablet,Oral,,
499041000033111,281211000001107,Efexor 37.5mg tablets (Wyeth Pharmaceuticals),Efexor 37.5mg tablets,Venlafaxine hydrochloride,37.500mg,Tablet,Oral,,
498541000033113,413311000001104,Efexor XL 150mg capsules (Upjohn UK Ltd),Efexor XL 150mg capsules,Venlafaxine hydrochloride,150.000mg,Modified-release capsule,Oral,4030400,4030400
499241000033115,628511000001107,Efexor 50mg tablets (Wyeth Pharmaceuticals),Efexor 50mg tablets,Venlafaxine hydrochloride,50.000mg,Tablet,Oral,,
498441000033112,651811000001100,Efexor XL 75mg capsules (Upjohn UK Ltd),Efexor XL 75mg capsules,Venlafaxine hydrochloride,75.000mg,Modified-release capsule,Oral,4030400,4030400
4498541000033116,8722711000001103,Venlafaxine 37.5mg/5ml oral suspension,Venlafaxine 37.5mg/5ml oral suspension,Venlafaxine hydrochloride,7.500mg/1.000ml,Oral suspension,Oral,,
6000441000033115,14017911000001109,Venlafaxine 37.5mg/5ml oral solution,Venlafaxine 37.5mg/5ml oral solution,Venlafaxine hydrochloride,7.500mg/1.000ml,Oral solution,Oral,,
5008041000033112,14018011000001106,Venlafaxine 75mg/5ml oral solution,Venlafaxine 75mg/5ml oral solution,Venlafaxine hydrochloride,15.000mg/1.000ml,Oral solution,Oral,,
8867941000033118,14018111000001107,Venlafaxine 75mg/5ml oral suspension,Venlafaxine 75mg/5ml oral suspension,Venlafaxine hydrochloride,15.000mg/1.000ml,Oral suspension,Oral,,
4817441000033114,14934211000001109,Rodomel XL 75mg capsules (Teva UK Ltd),Rodomel XL 75mg capsules,Venlafaxine hydrochloride,75.000mg,Modified-release capsule,Oral,,
4817341000033115,14934411000001108,Rodomel XL 150mg capsules (Teva UK Ltd),Rodomel XL 150mg capsules,Venlafaxine hydrochloride,150.000mg,Modified-release capsule,Oral,,
4818641000033112,14952511000001103,Trixat XL 75mg capsules (PLIVA Pharma Ltd),Trixat XL 75mg capsules,Venlafaxine hydrochloride,75.000mg,Modified-release capsule,Oral,,
4818541000033111,14952711000001108,Trixat XL 150mg capsules (PLIVA Pharma Ltd),Trixat XL 150mg capsules,Venlafaxine hydrochloride,150.000mg,Modified-release capsule,Oral,,
4824641000033113,14954611000001107,Winfex XL 75mg capsules (Zentiva),Winfex XL 75mg capsules,Venlafaxine hydrochloride,75.000mg,Modified-release capsule,Oral,4030400,4030400
4824541000033112,14954811000001106,Winfex XL 150mg capsules (Zentiva),Winfex XL 150mg capsules,Venlafaxine hydrochloride,150.000mg,Modified-release capsule,Oral,4030400,4030400
4897141000033117,14967411000001106,Tardcaps XL 75mg capsules (IXL Pharma Ltd),Tardcaps XL 75mg capsules,Venlafaxine hydrochloride,75.000mg,Modified-release capsule,Oral,,
4897241000033112,14967611000001109,Tardcaps XL 150mg capsules (IXL Pharma Ltd),Tardcaps XL 150mg capsules,Venlafaxine hydrochloride,150.000mg,Modified-release capsule,Oral,,
4896741000033115,14974711000001100,Vexarin XL 150mg capsules (Mylan),Vexarin XL 150mg capsules,Venlafaxine hydrochloride,150.000mg,Modified-release capsule,Oral,,
4896841000033113,14974911000001103,Vexarin XL 75mg capsules (Mylan),Vexarin XL 75mg capsules,Venlafaxine hydrochloride,75.000mg,Modified-release capsule,Oral,,
4899541000033115,14975211000001108,Vensir XL 75mg capsules (Morningside Healthcare Ltd),Vensir XL 75mg capsules,Venlafaxine hydrochloride,75.000mg,Modified-release capsule,Oral,,
4899641000033119,14975411000001107,Vensir XL 150mg capsules (Morningside Healthcare Ltd),Vensir XL 150mg capsules,Venlafaxine hydrochloride,150.000mg,Modified-release capsule,Oral,,
4897041000033116,14978711000001108,ViePax 37.5mg tablets (Dexcel-Pharma Ltd),ViePax 37.5mg tablets,Venlafaxine hydrochloride,37.500mg,Tablet,Oral,,
4896941000033117,14978911000001105,ViePax 75mg tablets (Dexcel-Pharma Ltd),ViePax 75mg tablets,Venlafaxine hydrochloride,75.000mg,Tablet,Oral,,
4823741000033119,14980711000001104,ViePax XL 75mg tablets (Dexcel-Pharma Ltd),ViePax XL 75mg tablets,Venlafaxine hydrochloride,75.000mg,Modified-release tablet,Oral,,
4823841000033112,14981311000001108,ViePax XL 150mg tablets (Dexcel-Pharma Ltd),ViePax XL 150mg tablets,Venlafaxine hydrochloride,150.000mg,Modified-release tablet,Oral,,
4817741000033119,14981511000001102,Tifaxin XL 75mg capsules (Genus Pharmaceuticals Ltd),Tifaxin XL 75mg capsules,Venlafaxine hydrochloride,75.000mg,Modified-release capsule,Oral,4030400,4030400
4817641000033111,14981711000001107,Tifaxin XL 150mg capsules (Genus Pharmaceuticals Ltd),Tifaxin XL 150mg capsules,Venlafaxine hydrochloride,150.000mg,Modified-release capsule,Oral,4030400,4030400
4823641000033111,14984911000001107,Venlafaxine 150mg modified-release tablets,Venlafaxine 150mg modified-release tablets,Venlafaxine hydrochloride,150.000mg,Modified-release tablet,Oral,4030400,4030400
4823541000033110,14985011000001107,Venlafaxine 75mg modified-release tablets,Venlafaxine 75mg modified-release tablets,Venlafaxine hydrochloride,75.000mg,Modified-release tablet,Oral,4030400,4030400
4937041000033115,15011711000001108,Vaxalin XL 75mg capsules (Ratiopharm UK Ltd),Vaxalin XL 75mg capsules,Venlafaxine hydrochloride,75.000mg,Modified-release capsule,Oral,,
4937141000033116,15012111000001102,Vaxalin XL 150mg capsules (Ratiopharm UK Ltd),Vaxalin XL 150mg capsules,Venlafaxine hydrochloride,150.000mg,Modified-release capsule,Oral,,
4936641000033111,15068711000001102,Venaxx XL 75mg capsules (Advanz Pharma),Venaxx XL 75mg capsules,Venlafaxine hydrochloride,75.000mg,Modified-release capsule,Oral,4030400,4030400
4936741000033119,15068911000001100,Venaxx XL 150mg capsules (Advanz Pharma),Venaxx XL 150mg capsules,Venlafaxine hydrochloride,150.000mg,Modified-release capsule,Oral,4030400,4030400
4957941000033115,15116511000001104,Politid XL 150mg capsules (Accord Healthcare Ltd),Politid XL 150mg capsules,Venlafaxine hydrochloride,150.000mg,Modified-release capsule,Oral,,
4957841000033111,15116711000001109,Politid XL 75mg capsules (Accord Healthcare Ltd),Politid XL 75mg capsules,Venlafaxine hydrochloride,75.000mg,Modified-release capsule,Oral,,
5052941000033116,15375411000001109,Venlalic XL 150mg tablets (Ethypharm UK Ltd),Venlalic XL 150mg tablets,Venlafaxine hydrochloride,150.000mg,Modified-release tablet,Oral,4030400,4030400
5053041000033114,15375711000001103,Venlalic XL 75mg tablets (Ethypharm UK Ltd),Venlalic XL 75mg tablets,Venlafaxine hydrochloride,75.000mg,Modified-release tablet,Oral,4030400,4030400
5052841000033112,15376011000001109,Venlalic XL 225mg tablets (Ethypharm UK Ltd),Venlalic XL 225mg tablets,Venlafaxine hydrochloride,225.000mg,Modified-release tablet,Oral,4030400,4030400
5234141000033115,15414711000001101,Foraven XL 150mg capsules (Forum Products Ltd),Foraven XL 150mg capsules,Venlafaxine hydrochloride,150.000mg,Modified-release capsule,Oral,4030400,4030400
5234041000033119,15414911000001104,Foraven XL 75mg capsules (Forum Products Ltd),Foraven XL 75mg capsules,Venlafaxine hydrochloride,75.000mg,Modified-release capsule,Oral,4030400,4030400
5052741000033119,15439111000001107,Venlafaxine 225mg modified-release tablets,Venlafaxine 225mg modified-release tablets,Venlafaxine hydrochloride,225.000mg,Modified-release tablet,Oral,4030400,4030400
5328941000033119,16273411000001100,Ranfaxine XL 75mg capsules (Ranbaxy (UK) Ltd),Ranfaxine XL 75mg capsules,Venlafaxine hydrochloride,75.000mg,Modified-release capsule,Oral,,
5329041000033111,16274611000001104,Ranfaxine XL 150mg capsules (Ranbaxy (UK) Ltd),Ranfaxine XL 150mg capsules,Venlafaxine hydrochloride,150.000mg,Modified-release capsule,Oral,,
5812541000033115,16421311000001106,Venlablue XL 75mg capsules (Zentiva),Venlablue XL 75mg capsules,Venlafaxine hydrochloride,75.000mg,Modified-release capsule,Oral,,
5812641000033119,16421511000001100,Venlablue XL 150mg capsules (Zentiva),Venlablue XL 150mg capsules,Venlafaxine hydrochloride,150.000mg,Modified-release capsule,Oral,,
