"MedCodeID","Term","QOFClusterID","QOFClusterDesc","QOFSnomedCTConceptId","SnomedCTDescriptionId","QOFUnmatchedCodeDescription"
,,"CAN_COD","Codes for relevant malignancies","94489004",,"Secondary malignant neoplasm of pineal gland"
,,"CAN_COD","Codes for relevant malignancies","94187006",,"Secondary malignant neoplasm of blood vessel of abdomen"
,,"CAN_COD","Codes for relevant malignancies","94171008",,"Secondary malignant neoplasm of anterior wall of urinary bladder"
,,"CAN_COD","Codes for relevant malignancies","94162004",,"Secondary malignant neoplasm of adrenal medulla"
,,"CAN_COD","Codes for relevant malignancies","94512001",,"Secondary malignant neoplasm of rectovesical septum"
,,"CAN_COD","Codes for relevant malignancies","94511008",,"Secondary malignant neoplasm of rectovaginal septum"
,,"CAN_COD","Codes for relevant malignancies","94510009",,"Secondary malignant neoplasm of rectouterine pouch"
,,"CAN_COD","Codes for relevant malignancies","94509004",,"Secondary malignant neoplasm of rectosigmoid junction"
,,"CAN_COD","Codes for relevant malignancies","94508007",,"Secondary malignant neoplasm of radius"
,,"CAN_COD","Codes for relevant malignancies","94507002",,"Secondary malignant neoplasm of pyriform sinus"
,,"CAN_COD","Codes for relevant malignancies","94506006",,"Secondary malignant neoplasm of pylorus"
,,"CAN_COD","Codes for relevant malignancies","94497006",,"Secondary malignant neoplasm of posterior mediastinum"
,,"CAN_COD","Codes for relevant malignancies","94504009",,"Secondary malignant neoplasm of pubis"
,,"CAN_COD","Codes for relevant malignancies","94486006",,"Secondary malignant neoplasm of phalanx of foot"
,,"CAN_COD","Codes for relevant malignancies","94163009",,"Secondary malignant neoplasm of alveolar ridge mucosa"
,,"CAN_COD","Codes for relevant malignancies","94164003",,"Secondary malignant neoplasm of ampulla of Vater"
,,"CAN_COD","Codes for relevant malignancies","94165002",,"Secondary malignant neoplasm of anal canal"
,,"CAN_COD","Codes for relevant malignancies","94166001",,"Secondary malignant neoplasm of anterior aspect of epiglottis"
,,"CAN_COD","Codes for relevant malignancies","94502008",,"Secondary malignant neoplasm of presacral region"
,,"CAN_COD","Codes for relevant malignancies","94501001",,"Secondary malignant neoplasm of preauricular lymph nodes"
,,"CAN_COD","Codes for relevant malignancies","94500000",,"Secondary malignant neoplasm of posterior wall of urinary bladder"
,,"CAN_COD","Codes for relevant malignancies","94505005",,"Secondary malignant neoplasm of pyloric antrum"
,,"CAN_COD","Codes for relevant malignancies","94460001",,"Secondary malignant neoplasm of pancreatic duct"
,,"CAN_COD","Codes for relevant malignancies","94488007",,"Secondary malignant neoplasm of pharynx"
,,"CAN_COD","Codes for relevant malignancies","94468008",,"Secondary malignant neoplasm of paraurethral glands"
,,"CAN_COD","Codes for relevant malignancies","94467003",,"Secondary malignant neoplasm of parathyroid gland"
,,"CAN_COD","Codes for relevant malignancies","94466007",,"Secondary malignant neoplasm of pararectal lymph nodes"
,,"CAN_COD","Codes for relevant malignancies","94465006",,"Secondary malignant neoplasm of parametrium"
,,"CAN_COD","Codes for relevant malignancies","94464005",,"Secondary malignant neoplasm of parametrial lymph nodes"
,,"CAN_COD","Codes for relevant malignancies","94463004",,"Secondary malignant neoplasm of paramammary lymph nodes"
,,"CAN_COD","Codes for relevant malignancies","94470004",,"Secondary malignant neoplasm of parietal bone"
,,"CAN_COD","Codes for relevant malignancies","94461002",,"Secondary malignant neoplasm of para-aortic body"
,,"CAN_COD","Codes for relevant malignancies","94471000",,"Secondary malignant neoplasm of parietal lobe"
,,"CAN_COD","Codes for relevant malignancies","94459006",,"Secondary malignant neoplasm of pancreas"
